ID,Review,address
1820005,"Horses are a big part of the Jeju culture  and Jeju Horse Park is a pretty cool place. Its museum includes many photographs  artifacts and a video telling the story of the Jeju ""ma "" or pony  which is descended from the ponies brought to the island by Mongol invaders. The island was considered a good place to raise horses  and the Mongols used it as such. At the park  you can also ride the horses. There is a great giftshop with lots of local handmade items. Children or even adults can make related crafts in an activity room. The building itself is round like a ger  the traditional nomadic tents used by the Mongols. The top deck includes a fabulous 360-degree view of the ""oreums"" (small cinder-cones or parasitic volcanoes) that literally ring the area of the park. Inside the railing  an artist has painted the oreums  along with their names. So  you can know exactly which oreums you are viewing. There are also some actual Mongolian gers (also known as yurts in other nomadic cultures). I believe tourists can actually spend the night in one of the gers. One thing to consider: If you want to visit  you must either have your own transportation or go with someone who does. It's kind of far from anywhere  and bus service may not operate in that area. Likewise  taxis don't just happen by. But  it is a beautiful area and interesting for the entire family We visited in the spring  and there were also lots of colorful wildflowers. Plan to spend a few hours there  especially if you will ride the horses.",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ç¥¼±¸é ³ì»ê·Î 381-15
1830001,"There is a cafe at level 2 and a small gift shop selling Hallabong items after walking through their tangerines greenhouse. There is also a small museum where kids could learn about tangerines but they are mostly in Korean.Outside  the korean fans dedicated a small hectre of tangerine plantation to G-Dragon. There is even a Kwon Jiyong Tree. But since we were there in late March  the weather was still pretty chilly  so the leaves are not growing yet.You could ask the reception where it is  its just nearby. However do try asking them as ""G-Dragon"" forest. i tried saying as ""GD""  but they dont really get it. Lol.",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1830002,Granted  we went during the off season  but i can't think that it would be much better in the peak season. Several of the displays did not work  and there was no place to get a real meal if you were hungry. The one redeeming feature was the greenhouse that contained the different citrus trees.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1830003,I actually came here planning to pick tangerines but to my disappointment there was no sight of a tangerine picking activity in sight... until I found an English/Korean brochure at the empty information counter. The only other people whom we could ask for help are the people working at an art activity at the entrance hall. They could not speak or understand English or Mandarin very well. However  the art activity they were holding seemed very interesting if you are curious. They were designing tangerines/fruits onto these clay plates  but I was told you had to cough up some cash for. Other than that  touring the museum and picking the tangerines were free.We went to look around the tangerine museum but came out quite disappointed and upset. It was uninteresting waste of time. The museum also felt quite old and outdated  and would recommend you just skip going in (thank god it was for free) and go straight ahead to pick tangerines (which is also free!)I only managed to find the tangerine plantation after walking through a huge tangerine plant-house that only allows you to walk one-way. It was also an uninteresting and non-fulfilling walk with all the tangerine plants looking exactly the same despite what the markers on the ground tell you otherwise. It was a long walk despite all the plants having minimal diversity to showcase. We were properly led to the tangerine plantation only after I found a worker there and pointed out to him the description for the tangerine picking activity on the brochure I picked up at the entrance.The tangerine picking was wonderful. They gave us gardening pliers (2 only for a family of 7) and allowed us to pick a maximum of 3 tangerines. We went a little overboard and picked more than we should have. There was someone there to keep a lookout  but he kind of just turned a blind eye to what we were doing. This place really isn't that worth checking out if you ask me. There is little help available and you can technically pick tangerines all over Jeju (a souvenir store in the museum sold a box of tangerines for S$50) because the island is filled with tangerine trees. But I couldn't really expect much from a place that did not take our money. But if you want to pick tangerines the proper way and not risk the locals chastising you for picking tangerines off the street then feel free to come here.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1830004,Except a receptionist  very good place.I strongly recommend this place.Museum  Korean mandarin cookies making  foot bath  a large botanical garden  picking Korean mandarins.You can stay just a hour  but You'd better use more time.It's not free  but absolutely not expensive.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1830005,Great to learn about local citrus history. Lots of space to walk around and enjoy. Tangerine plucking experience. Ask them how to choose sweet ones.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1830006,Interesting to learn about the history of citrus  including the local history of the mandarin organges  but you won't need to spend a lot of time here. Museum includes green houses with citrus trees from all over the world.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ·¼øÈ¯·Î 441
1840001,An absolutely unique construction in a landscape near the sea  the exhibits are presented in an extraordinary way.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼·ÁöÄÚÁö·Î 107
1840002,The building itself is pretty cool  when we were there the tall grass was in in its full glory and towered over either side of the path into the building. We were given discounted admission because one of the exhibits inside was temporarily closed. It's interesting to walk around inside a bit (there are some nice clean bathrooms in there too) and see the several art exhibits inside. It's very peaceful and relaxing inside the building.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼·ÁöÄÚÁö·Î 107
1840003,You can enjoy the framing beauty. The building itself and the walls are harmonious with the neigboring or surrounding nature.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼·ÁöÄÚÁö·Î 107
1840004,enjoy the Saepjikoji and looking this buildings so eyecatching  I think not much better than you can visit in the morning when sunrise because this place was at the west of Illchulbong. But I missed that :(,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼·ÁöÄÚÁö·Î 107
1840005,This was one of the most interesting things I visited in the cheesy Jeju Island. It's a piece of architecture. Everything is about meditation. The buildings are angled to frame Seongsan Ilchulbong volcano and they give you different perspectives of it. I found it very cool.The entrance fee was $5 but it is worth it. You have to walk from the parking lot to this area  it's about 10 to 15 minutes. The views are nice.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼·ÁöÄÚÁö·Î 107
1850001,We visited on 23rd October. A misfortune happened at about 5.15pm when we were about to leave  our rented car could not start due to no battery. Our baby was temporarily locked in the car so a helpful bystander helped us to opened the door using manual lock and called the car rental company. After a long wait we gotten the staffs at the park to help.the 'gatekeepers' were friendly enough to let us stayed there while awaiting help to arrive. A thin tall lady staff without spectacles came to our help and called the car rental company as we could not understand the options given in Korean. She explained to us and reassured us in English fluently. She also took extra care to follow up and waited til a tow car to help to jump start the rented car. I think by that time her shift is over as few staffs waiting for her too. We are indeed thankful for her and the staffs on that day. Cocomong Ecopark does have a good commendable staff. thank you.Park wise games and design are well thought and worth the entry ticket. The slide down on tire is fun though it looked a bit scary but it is safe. Cafe has got a nice sea view.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ³²¿øÀ¾ ÅÂÀ§·Î 536
1850002,This park is relatively new and a haven for kids. Within the park there are play areas for toddlers and young kids. There is a sandpit  a tube slide  an outdoor playground  swings  car and train rides  flying fox  indoor playground etc. The train and car rides are available at extra charges.There is a baby changing room  makes it convenient for parents with babies. Flying fox is for kids above 100cm but they have the mini version for kids below that height. Indoor playground is a rather big area which is toddler friendly. There are seats for parents to wait while the kids play their fill in the indoor playground. There is also a restaurant within the park with amazing sea views. My daughter had an amazing time as the park was not crowded when we visited. Overall its a nice park to visit if u have kids below age of 7.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ³²¿øÀ¾ ÅÂÀ§·Î 536
1850003,Our son LOVED it here and has been asking to go back daily since we left. It could use a few more things to do  but you can easily spend a good few hours here  especially if your children are familiar with the animation. Everything seemed very safe and well organized. We didn't pay extra money to go into the play area  but it sounded like kids were having a blast in there too. No idea why adults have to pay entrance though.... as theres nothing for adults to really do and the only reason they are entering is to go with their children. Many play parks around Korea offer free entry for adults  it's a shame here doesn't follow suit. Also  the kids play room with the balls and lego blocks is a little lacking..... our son still loved it  but it could use a few more items to build/play with etc,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ³²¿øÀ¾ ÅÂÀ§·Î 536
1850004,My 2.5 year old son loved this park so we went there twice. There are classic activities like sand and bubbles and playroom and challenging ones like big slides  tree house??My husband and I had fun too! The restaurant there has a breath taking view. If you have kids from 2-5  this is a must go park! We want to go back there again!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ³²¿øÀ¾ ÅÂÀ§·Î 536
1850005,Everything on this park looked like new and my two princesses certainly enjoyed heir time there. Therre lots of slides  playgrounds outdoors and indoors  game for litlle kids and the staff is always ready to help out. You can spend probably half day here not more Tlahn that as it is it that big either,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ³²¿øÀ¾ ÅÂÀ§·Î 536
1860001,Has serene garden  $3 entrance fee. They preserved the deceased artists study which was interesting. The photos had a rare spiritual feel to them. Out of the way  took almost an hour to get there from our hotel in seoguipo  be careful not to speed above posted speed limit - there were about 20 traffic cameras along the way and even saw two impromptu mobile speed camera setups.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ »ï´Ş·Î 137
1860002,It was easy for me to relate and discover the true beauty of Jeju. The natural hills and nature was this late photographer's muse. It opened my eyes to actually feel Jeju.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ »ï´Ş·Î 137
1860003,Just go and feel peace. .I came here Jeju 6th time. I am very happy to found this place. You can feel peace. . from the bottom of your heart.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ »ï´Ş·Î 137
1860004,This is a gallery that a late photographer  Kim younggap  in his last days with Lou Gehrig's disease  established to store his films and photographs. This used to be an abandoned primary school. He designed the gallery  the garden and the gate. His photographs show beauty of this islands in a completely different light. That is simply gorgeous as it is. The best thing I liked about visiting this gallery was how he arranged this island's native rocks in his garden. Native rocks of Jeju islands are very very dark. Any color you bring against it shines. The garden makes you see it  and I think that's what he wanted to say in his garden. Check out the photographs. I think it is eye opening.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ »ï´Ş·Î 137
